,name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg
208,Kyrylo Fesenko,8.6,0.8,1.9,.440,0.0,0.0,.000,0.8,1.9,.444,.440,0.3,0.9,.391,0.6,1.4,2.0,0.3,0.1,0.3,0.5,1.7,2.0
209,Landry Fields,31.0,3.6,7.3,.497,1.0,2.7,.393,2.6,4.7,.556,.568,1.4,1.8,.769,1.3,5.1,6.4,1.9,1.0,0.2,1.3,1.4,9.7
210,Derek Fisher,28.0,2.5,6.5,.389,0.8,1.9,.396,1.7,4.5,.386,.449,1.0,1.3,.806,0.2,1.7,1.9,2.7,1.2,0.1,0.9,2.3,6.8
211,Jonny Flynn,18.5,2.0,5.6,.365,0.6,1.9,.310,1.5,3.7,.393,.417,0.6,0.8,.762,0.2,1.2,1.5,3.4,0.6,0.1,2.1,1.1,5.3
212,Gary Forbes,12.6,2.0,4.3,.454,0.3,0.9,.328,1.7,3.4,.488,.489,0.9,1.4,.678,0.4,1.4,1.8,0.8,0.4,0.1,0.7,1.2,5.2
213,T.J. Ford,18.9,2.2,5.8,.386,0.1,0.8,.188,2.1,5.0,.417,.398,0.9,1.2,.729,0.4,1.6,2.0,3.4,0.9,0.2,1.5,1.7,5.4
214,Jeff Foster,16.8,1.4,3.0,.479,0.0,0.1,.000,1.4,2.9,.488,.479,0.5,0.9,.563,2.9,3.4,6.3,0.8,0.4,0.6,0.5,2.3,3.3
215,Randy Foye,24.6,3.3,8.4,.388,1.1,3.4,.327,2.1,5.0,.430,.455,2.1,2.4,.893,0.2,1.4,1.6,2.7,0.7,0.3,1.5,1.9,9.8
216,Channing Frye,33.0,4.6,10.8,.432,2.2,5.7,.390,2.4,5.1,.479,.535,1.2,1.4,.832,0.8,5.8,6.7,1.2,0.6,1.0,0.9,3.5,12.7
217,Dan Gadzuric,11.0,1.3,3.1,.419,0.0,0.0,.000,1.3,3.0,.422,.419,0.2,0.6,.370,1.7,1.5,3.2,0.3,0.3,0.7,0.7,2.2,2.8
218,Dan Gadzuric,10.6,1.3,3.1,.420,0.0,0.0,.000,1.3,3.1,.425,.420,0.2,0.5,.357,1.9,1.2,3.1,0.4,0.4,0.6,0.8,2.3,2.8
219,Dan Gadzuric,11.9,1.2,2.9,.415,0.0,0.0,,1.2,2.9,.415,.415,0.4,0.9,.385,1.3,2.2,3.5,0.2,0.2,0.8,0.6,2.0,2.8
220,Sundiata Gaines,12.5,1.8,4.4,.400,0.4,1.6,.237,1.4,2.8,.493,.443,0.8,1.5,.500,0.5,1.0,1.6,1.8,0.7,0.0,1.1,1.0,4.6
